FLIGHT_NUMBER,SCHEDULED_ARRIVAL,SCHEDULED_DEPARTURE,DESTINATION_AIRPORT,ORIGIN_AIRPORT
315,1500,1400,SNA,LAS
296,1813,1615,DEN,IAD
3006,1345,1130,PHX,LAX
4298,1929,1741,EWR,PIT
363,1800,1650,SAN,DAL
4914,1825,1535,DCA,STL
4607,1030,923,IAH,LFT
2499,2140,1859,LGA,TPA
6023,1116,1002,ORD,ATL
718,2359,2255,BOS,JFK
4119,2224,2105,RIC,EWR
1492,1212,800,MSP,PHX
3125,1930,1725,BNA,SAT
1263,944,640,ATL,PVD
5583,1840,1801,MSP,GRR
357,1634,1400,BWI,MIA
649,1320,954,DFW,PHX
1073,1921,1635,PHL,MIA
1434,813,605,MCO,SJU
234,1141,605,IAH,SMF
1772,1328,1102,PHX,ATL
2155,2145,1935,LAX,ATL
999,2024,1750,PHX,MSP
185,725,600,JFK,ROC
5776,2044,1906,IAD,SYR
1688,1130,750,DCA,DFW
4591,1825,1530,CVG,MSP
719,1840,1320,MCO,DEN
514,1824,1007,JFK,LGB
4304,1030,845,LAX,MCI
4292,1205,925,FLL,BWI
2699,1348,1225,PHX,ABQ
339,1350,1305,LIH,OGG
232,859,635,SAN,PDX
42,1810,1501,JFK,SJU
5961,712,615,ORD,SCE
4278,925,735,DEN,BOI
3775,1900,1505,LBB,LAS
3134,1234,1040,STL,LGA
782,607,2215,PHL,LAX
2027,1846,1635,PHX,LAS
5232,2135,2050,CHA,ATL
1551,2108,1935,LAS,MSP
25,1415,1015,HNL,PDX
2393,1324,1100,JFK,MCO
2618,1644,1400,ELP,LAX
3114,1353,1140,DTW,ORD
627,1650,1540,BUR,SMF
5261,2132,2039,SHV,ATL
10,800,645,HOU,ATL
2431,1510,1250,MSP,DFW
328,730,620,LAS,TUL
2259,1320,915,MIA,ORD
2962,657,600,DFW,CLL
5493,1202,1008,DEN,BOI
